timestamp,detected_object,confidence_level,spray_status
"10/22/2025, 10:54:23 AM",healthy crops,85,off
"10/22/2025, 10:54:26 AM",healthy crops,81.5,off
"10/22/2025, 10:54:28 AM",healthy crops,84.2,off
"10/22/2025, 10:54:33 AM",stressed crops,68,off
"10/22/2025, 10:54:36 AM",stressed crops,54.5,off
"10/22/2025, 10:54:38 AM",healthy crops,81.1,off
"10/22/2025, 10:54:41 AM",healthy crops,78.9,off
"10/22/2025, 10:54:43 AM",healthy crops,72.2,off
"10/22/2025, 10:54:46 AM",healthy crops,77.3,off
"10/22/2025, 10:54:51 AM",healthy crops,75.1,off
"10/22/2025, 10:54:53 AM",healthy crops,79,off
"10/22/2025, 10:54:58 AM",healthy crops,64.5,off
"10/22/2025, 10:55:01 AM",healthy crops,76.1,off
"10/22/2025, 10:57:32 AM",stressed crops,81.2,off
"10/22/2025, 10:57:32 AM",stressed crops,71.9,off
"10/22/2025, 10:57:35 AM",stressed crops,74.8,off
"10/22/2025, 10:57:35 AM",stressed crops,66.6,off
"10/22/2025, 10:57:36 AM",stressed crops,77.9,off
"10/22/2025, 10:57:39 AM",stressed crops,76.4,off
"10/22/2025, 10:57:39 AM",stressed crops,76,off
"10/22/2025, 10:57:41 AM",stressed crops,79.7,off
"10/22/2025, 10:57:41 AM",stressed crops,57.6,off
"10/22/2025, 10:57:46 AM",stressed crops,78.5,off
"10/22/2025, 11:08:40 AM",stressed crops,75.6,off
"10/22/2025, 11:08:45 AM",stressed crops,62.4,off
"10/22/2025, 11:08:45 AM",healthy crops,59.6,off
"10/22/2025, 11:08:47 AM",stressed crops,71.9,off
"10/22/2025, 11:09:07 AM",healthy crops,55.6,off
"10/22/2025, 11:09:11 AM",stressed crops,63.3,off
"10/22/2025, 11:09:32 AM",stressed crops,60.4,off
"10/22/2025, 11:09:48 AM",healthy crops,67.6,off
"10/22/2025, 11:09:54 AM",healthy crops,73.1,off
"10/22/2025, 11:09:58 AM",healthy crops,86.7,off
